coffeepk,lat,lon,name,city,state,street,rating,numofratings,tile
64,40.7235092,-73.9913293,La Colombe Coffee Roasters,New York,NY,Unknown Street,0.0,0,13574_-24664
65,40.8109307,-73.9428375,Astor Row Cafe,New York,NY,Lenox Avenue 404,0.0,0,13603_-24648
66,40.7849274,-73.9788012,Starbucks,New York,NY,Broadway 2252,0.0,0,13594_-24660
67,40.7082349,-74.0076153,BlueSpoon Coffee Co,New York,NY,William Street 90,0.0,0,13569_-24670
68,40.7364693,-73.9790705,Möge Tee,New York,NY,Unknown Street,0.0,0,13578_-24660
69,40.7375845,-74.0001443,Whole Green,New York,NY,7th Avenue 35,0.0,0,13579_-24667
70,40.7072305,-74.0123877,Bean And Bean,New York,NY,Unknown Street,0.0,0,13569_-24671
71,40.7043817,-74.0130472,Starbucks,New York,NY,Broadway 2,0.0,0,13568_-24672
72,40.8735418,-73.9084923,Starbucks,New York,NY,West 225th Street 40,0.0,0,13624_-24637
73,40.7401504,-73.984507,CoCo Fresh Tea & Juice,New York,NY,Lexington Avenue 38B,0.0,0,13580_-24662
74,40.7405189,-73.984262,Starbucks,New York,NY,Unknown Street,0.0,0,13580_-24662
75,40.7101916,-74.0079702,Starbucks,New York,NY,Fulton Street 130,0.0,0,13570_-24670
76,40.722517,-73.997904,Starbucks,New York,NY,Spring Street 72,0.0,0,13574_-24666
77,40.8010232,-73.9587555,Cafe Amrita,New York,NY,Cathedral Parkway 301,0.0,0,13600_-24653
78,40.725584,-73.9947398,Bite,New York,NY,Lafayette Street 337,0.0,0,13575_-24665
79,40.7212256,-73.984094,Pause Cafe,New York,NY,Clinton Street 3,0.0,0,13573_-24662
81,40.7059471,-74.0116452,Joe & The Juice,New York,NY,Broad Street 40,0.0,0,13568_-24671
82,40.7035248,-74.0108884,787 Coffee,New York,NY,Pearl Street 66,0.0,0,13567_-24671
83,40.7037137,-74.0104781,Springbone Kitchen,New York,NY,Pearl Street 74,0.0,0,13567_-24671
84,40.7051728,-74.011298,Starbucks,New York,NY,Broad Street 55,0.0,0,13568_-24671
85,40.7046071,-74.0091159,Starbucks,New York,NY,Pearl Street 110,0.0,0,13568_-24670
86,40.7924179,-73.9738051,Moka & Co,New York,NY,Broadway 2481,0.0,0,13597_-24658
87,40.7308318,-73.983183,Starbucks,New York,NY,1st Avenue 219,0.0,0,13576_-24662
88,40.7602221,-73.9750354,Le Pain Quotidien,New York,NY,Unknown Street,0.0,0,13586_-24659
89,40.7851171,-73.9766494,Chalait,New York,NY,Amsterdam Avenue 461,0.0,0,13595_-24659
90,40.7468389,-73.9933857,GiGi Cafe,New York,NY,Unknown Street,0.0,0,13582_-24665
91,40.8101961,-73.9618962,Joe Coffee Company,New York,NY,West 120th Street 550,0.0,0,13603_-24654
92,40.771384,-73.9824717,Starbucks,New York,NY,Broadway 1889,0.0,0,13590_-24661
93,40.7932055,-73.9675462,Birch Coffee,New York,NY,Columbus Avenue 750,0.0,0,13597_-24656
94,40.808949,-73.9609388,Uris Deli,New York,NY,Unknown Street,0.0,0,13602_-24654
95,40.8094957,-73.9602878,Blue Java,New York,NY,Unknown Street,0.0,0,13603_-24654
96,40.7761432,-73.9502069,Starbucks,New York,NY,1st Avenue 1631,0.0,0,13592_-24651
97,40.7859465,-73.9507027,Starbucks,New York,NY,Lexington Avenue 1491,0.0,0,13595_-24651
98,40.7333179,-74.0005572,Joe Coffee Company,New York,NY,Waverly Place 141,0.0,0,13577_-24667
99,40.7332121,-74.0026862,Starbucks,New York,NY,Grove Street 74,0.0,0,13577_-24668
100,40.7461544,-73.9975859,Brooklyn Bagel & Coffee Company,New York,NY,8th Avenue 286,0.0,0,13582_-24666
101,40.7439702,-73.9997102,St Kilda Coffee,New York,NY,8th Avenue 211,0.0,0,13581_-24667
102,40.7447814,-73.9985854,Zucker's,New York,NY,6th Avenue 500,0.0,0,13581_-24667
103,40.7411054,-74.0012613,Starbucks,New York,NY,8th Avenue 124,0.0,0,13580_-24668
104,40.7451876,-73.9988416,Starbucks,New York,NY,West 23rd Street 300,0.0,0,13581_-24667
105,40.7384873,-74.0000074,Bagel and More,New York,NY,Unknown Street,0.0,0,13579_-24667
106,40.7388452,-73.9998143,The Donut Pub,New York,NY,West 14th Street 203,0.0,0,13579_-24667
107,40.7857253,-73.9729983,Joe Coffee Company,New York,NY,Columbus Avenue 514,0.0,0,13595_-24658
108,40.7822907,-73.9792081,Bagel Talk,New York,NY,Amsterdam Avenue 368,0.0,0,13594_-24660
109,40.761405,-73.9678672,Starbucks,New York,NY,Unknown Street,0.0,0,13587_-24656
110,40.7694073,-73.9848933,Starbucks,New York,NY,Columbus Avenue 2,0.0,0,13589_-24662
111,40.7871147,-73.9719656,Columbus Cafe,New York,NY,Columbus Avenue 556,0.0,0,13595_-24658
112,40.7777547,-73.9826132,Starbucks,New York,NY,Broadway 2045,0.0,0,13592_-24661
113,40.7231858,-73.9901312,Yonah Shimmel Knish Bakery,New York,NY,East Houston Street 137,0.0,0,13574_-24664
114,40.728772,-73.9877814,Xing Fu Tang,New York,NY,2nd Avenue 133,0.0,0,13576_-24663
115,40.7297726,-73.98948,The Bean,New York,NY,3rd Avenue 31,0.0,0,13576_-24664
116,40.7258624,-73.9898947,Kona Coffee and Company,New York,NY,2nd Avenue 57,0.0,0,13575_-24664
117,40.726927,-73.9957148,Grabenstein's Bagels,New York,NY,Broadway 651,0.0,0,13575_-24666
118,40.7225241,-73.9934347,PlantShed,New York,NY,Prince Street 1,0.0,0,13574_-24665
119,40.7256046,-73.98962,The Bean,New York,NY,Unknown Street,0.0,0,13575_-24664
120,40.7261039,-73.9987153,Felix Roasting Co.,New York,NY,Greene Street 145,0.0,0,13575_-24667
121,40.7268477,-74.0001615,Starbucks,New York,NY,Unknown Street,0.0,0,13575_-24667
122,40.729007,-73.9847265,Not As Bitter,New York,NY,East 10th Street 241,0.0,0,13576_-24662
123,40.7294911,-73.9863927,Prince Tea House,New York,NY,East 10th Street 204,0.0,0,13576_-24663
